# Constructed from biom file														
#OTU ID	K-7-4	K-7-5	K-7-6	K-7-7	M1-7-1	M1-7-2	M1-7-3	M1-7-4	M2-7-1	M2-7-2	M2-7-3	M2-7-4	M2-7-5	taxonomy
f5d28f36348dd20e37532239b2feeb78	0	0	0	0	0.028595939	0	0	0	0	0	0	0	0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Filifactoraceae;g__Acetoanaerobium;s__Acetoanaerobium sticklandii
206a36ccf374f8ec4c7b0c0986399eed	0	1.602230835	0	0	0	0	0.500026043	0	0	0	0	0	0	#N/A
67f2612676fcab902aa14b6387a209d3	0	0.675867284	0.803043111	1.136636133	0	0	0	0	2.587697628	0	0	0	0	d__Bacteria;p__Bacillota_A;c__Thermoanaerobacteria;o__Thermoanaerobacterales;f__Thermoanaerobacteraceae;g__Thermoanaerobacter
6d874bee42b37f82c6576bf631975ce6	0.121739945	0.67114094	0	3.875113903	0	0	0.510443252	0.249616816	0.376729249	0.090369223	0	0.07918552	0.060965471	d__Bacteria;p__Bacillota_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__Desulfosporosinus sp927405585
0e64e5e87bd83361f20d9d9ba3ffcb56	0.365219834	0.628603838	0	0	0	0	0.343767905	0	0	0	0	0	0	#N/A
5a9ade87e4eccf608425651ed38f59cb	0	0.297759713	0	0	0	0	0	0	0	0	0	0	0	#N/A
50a4d82bc6510a4a517dc428995b4263	0.201339139	0.217411854	0.042265427	2.038271546	0	0.130730347	0.104172092	1.178016203	0	0.12909889	0	0	0.033253893	d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__DSM-9756;g__Desulfacinum;s__Desulfacinum sp014359885
ac98606b15fcd41b2d42ad594ca378ec	0.323079084	0.13233765	0	0	0	0	0.026043023	0.048171666	0	0	0	0	0	#N/A
a8eafcc66f222ed14947b2179c816513	0	0.108705927	0	0	0	0	0	0.008758485	0	0	0	0	0	#N/A
f71b7d9553936203958d4bd08c0991dd	0.014046917	0.089800548	0	0.321327514	0	0	0.031251628	0.783884388	0	0	0	0.03959276	0	#N/A
d7d1f4661eb386bdd5e21215d6044261	0	0.080347859	0	0.546736368	0	0.156876416	0.036460232	0	0.049407115	0	0	0	0	d__Bacteria;p__Bacillota_A;c__Thermosediminibacteria;o__Koleobacterales;f__Koleobacteraceae;g__Koleobacter;s__Koleobacter methoxysyntrophicus
d6a6540dce58e918d0e4e46fd9b39f25	0	0.080347859	0	0.105510527	0	0	0	0.013137727	0	0	0	0	0	#N/A
fd8d647b1e767686cd15d70b3d61b774	0.252844501	0.07089517	0	0	0	0	0.140632325	0	0	0	0	0	0	#N/A
af5bdb99c5b3dabcb670c2a15b04eb0a	0.056187667	0.07089517	0	0.095918661	0	0	0	0	0	0	0	0	0	#N/A
679c238ddb80ba8749c4689efcf2ebfc	0.014046917	0.066168825	0	0	0	0.522921387	0.010417209	0.052550909	0	0	0	0	0	d__Bacteria;p__Bacillota_B;c__Moorellia;o__Moorellales;f__Moorellaceae;g__Moorella
5c2abb3e57e25e6d7b68ac9b28e4d198	0	0.066168825	0	0	0	0	0	0	0	0	0	0	0	#N/A
5ea5857a254ce8fd1c59ca5b08569a80	0	0.06144248	0	0	0	0.113299634	0	0	0.45701581	0.116189001	0	0	0	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanothermobacteraceae;g__Methanothermobacter
a7aa6c05f58116131dde8ae6823e19c7	0	0.051989791	0	0	0	0	0	0	0	0	0	0	0	#N/A
3808df3510fdafce744905cbb830cb5f	2.739148757	0.047263446	0	0	0	0	0	0	0	0	0	0	0	#N/A
5e1d9a45d68e89be07c06c2a15d55b94	0.636793557	0.037810757	0	0.033571531	0	0	0	0.013137727	0	0	0	0	0	#N/A
098cfc212d5c35d8a4f79752d081508b	0.234115278	0.033084413	0	0.350103113	0	0	0	0	0	0	0	0	0	#N/A
d6972fb4cefed71d50dd7e117749a6ca	0	0.033084413	0	0	0	0	0	0	0.135869565	0	0	0	0.110846312	d__Bacteria;p__DTU030;c__DTU030;o__DUMP01;f__DUMP01;g__DUMP01;s__DUMP01 sp012839755
e541c625df4cc3fdc29955349d285c71	0	0.033084413	0	0	0	0	0	0	0	0	0	0	0	#N/A
4458d32b968f96ed788d00be5c791eca	0.294985251	0.028358068	0	0	0	0	0	0	0	0	0	0	0	#N/A
8b28d85278a52e07cc628fa49c1a2f25	0	0.028358068	0.153212172	0.105510527	0	0.348614258	0.140632325	0.197065908	0	0.180738446	0.16185259	0.135746606	0.410131353	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__Gracilinema;s__Gracilinema caldarium
0058480a3324bae68b37c28dfdfc193b	0	0.028358068	0	0	0	0	0	0	0	0	0	0	0	#N/A
6de6117af84e4d121e09c29ef7caa90d	0	0.028358068	0	0	0	0	0	0	0	0	0	0	0	#N/A
7f7e65f90c362a355922b591c619e98f	0	0.028358068	0	0	0	0	0	0	0	0	0	0	0	#N/A
9a8aa963bf9707ae5cc150cc9504c77d	0	0.028358068	0	0	0	0	0	0	0	0	0	0	0	#N/A
9bbc31b517537204fd7698f5115713d0	0	0.028358068	0	0	0	0	0	0	0	0	0	0	0	#N/A
79abe8143dcd76719c737508f295b3b1	0	0.023631723	0	0.038367464	0	0	0.010417209	0.021896212	0	0	0	0	0	#N/A
3a4003f20346ef922e7d7338896fda5a	0	0.023631723	0	0	0	0	0	0	0	0	0	0	0	#N/A
5b2fed21a9ae1266d7630fbd98639f48	0	0.023631723	0	0	0	0	0	0	0	0	0	0	0	#N/A
8716674342a5bacb59f1eeea306cb8a2	0	0.023631723	0	0	0	0	0	0	0	0	0	0	0	#N/A
594aeeb06e761cf39e2d3e72a238e497	0.028093833	0.018905379	0	0	0	0	0	0	0	0	0	0	0	#N/A
ff682afadf9d4dc8e30bd628cbbd60ba	0	0.018905379	0	0	0	0	0	0	0	0	0	0	0	#N/A
26a2da2ad9bbf5eda7e8f9066f83408e	0	0.014179034	0	0	0	0	0	0	0	0	0	0	0	#N/A
474b8d8e330931481070c48b340d7845	0	0.014179034	0	0	0	0	0	0	0	0	0	0	0	#N/A
68fb9e7efedff4420fed5329ef5b5b5a	0	0.014179034	0	0	0	0	0	0	0	0	0	0	0	#N/A
7ab275a59a4fdb818ba9aec690a12ad6	0	0.014179034	0	0	0	0	0	0	0	0	0	0	0	#N/A
9cf402de8fde9dc17f9b8c126bdfc7f1	0	0.014179034	0	0	0	0	0	0	0	0	0	0	0	#N/A
ae0a4e3e01d411959222845590088204	0	0.014179034	0	0	0	0	0	0	0	0	0	0	0	#N/A
e305715fd7523168285536b1f39d08f7	0	0.014179034	0	0	0	0	0	0	0	0	0	0	0	#N/A
016010aba568c02853f42dd7e905e56b	0	0.009452689	0	0	0	0	0	0	0	0	0	0	0	#N/A
2ef6ba8090bb34dace7c078942ab57a2	0	0.009452689	0	0	0	0	0	0	0	0	0	0	0	#N/A
2f954939deec1229f6c5f0f06633c54a	0	0.009452689	0	0	0	0	0	0	0	0	0	0	0	#N/A
34469928bdf46b7588e7e4304981dad5	0	0.009452689	0	0	0	0	0	0	0	0	0	0	0	#N/A
8612a638846acf832935cb932a1f0398	0	0.009452689	0	0	0	0	0	0	0	0	0	0	0	#N/A
b71dc73869fae26aab2886ab17cee626	0	0.009452689	0	0	0	0	0	0	0	0	0	0	0	#N/A
da325dc07a4cf2f20dd91e43219a8c03	0	0.009452689	0	0	0	0	0	0	0	0	0	0	0	#N/A
dc38d34fbcfbd51b821d47d5b1bed45c	0	0.009452689	0	0	0	0	0	0	0	0	0	0	0	#N/A
e64dedd6347584c2eafe2c0f3f8108ed	0	0.009452689	0	0	0	0	0	0	0	0	0	0	0	#N/A
